entity_name,address_and_city,state,zip,country,unique_id,entity_id
EASTERN MERCHANTS PTE LTD,ZURICH CHE,,,,30,6
ACME TRADING LTD,SG SGP,,,,31,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,32,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,33,6
HARBOR ADVISORS LP,LOS ANGELES,CA,90210,US,34,6
GLOBAL METALS SA,,NY,10003,US,35,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,36,6
GLOBAL HOLDINGS LTD,LOS ANGELES,CA,90210,US,37,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,38,6
ACME TRUST INC,,,,,39,6
GLOBAL METALS SA,LOS ANGELES,CA,90210,US,40,6
ACME INVESTMENTS LTD,,NY,10003,US,41,6
PACIFIC TRUST INC,,,,,42,6
TYCHO FEEDER FUND,INC ROAD TOWN TORTOLA,,,VG,43,6
ACME INVESTMENTS LTD,SG SGP,,,,44,6
REDWOOD PA RTNERS LLC,SG SGP,,,,45,45
GLOBAL METALS SA,SG SGP,,,,46,6
EASTERN MERCHA NTS PTE LTD,LOS ANGELES,CA,90210,US,47,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,48,6
TYCHO FEEDER FUND,INC,NC,,US,49,6
TYCHO FEEDER FUND,INC SG SGP,,,,50,6
ACME INVESTMENTS LTD,LONDON,,,GB,51,6
ACME INVESTMENTS LTD,,,,,52,6
NORTH SEA SHIPPING BV,LOS ANGELES,CA,90210,US,53,6
ACME INVESTMENTS LTD,SG SGP,,,,54,6
EASTERN MERCHANTS PTE LTD,SG SGP,,,,55,6
ACME INVESTMENTS LTD,,,,,56,6
ACME TRA DING LTD,,,,,57,6
ALPHA TRUST FBO JANE DOE LONDON,ALPHA TRUST FBO JANE DOE LONDON,,,GB,58,18
JOHN DOE ROAD TOWN TORTOLA,JOHN DOE ROAD TOWN TORTOLA,,,VG,59,59
ACME INVESTMENTS LTD,,,,,60,6
TYCHO FEEDER FUND,INC,NY,10003,US,61,6
REDWOOD PARTNERS LLC,,,,,62,45
ACME INVESTMENTS LTD,,NY,10003,US,63,6
ACME TRADING LTD,,,,,64,6
BANK OF CYPRUS SG SGP,BANK OF CYPRUS SG SGP,,,CY,65,6
GLOBAL METALS SA,SG SGP,,,,66,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,67,6
ACME INVESTMENTS LTD,,,,,68,6
REDWOOD PA RTNERS LLC,ROAD TOWN TORTOLA,,,VG,69,45
PACIFIC TRUST INC,ROAD TOWN TORTOLA,,,VG,70,6
TYCHO FEEDER FUND,INC,NC,,US,71,6
NORTH SEA SHIPPING BV,,NY,10003,US,72,6
GLOBAL HOLDINGS LTD,,NY,10003,US,73,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,74,6
REDWOOD PARTNERS LLC,LONDON,,,GB,75,45
ACME TRADING LTD,LOS ANGELES,CA,90210,US,76,6
ACME INVESTMENTS LTD,SG SGP,,,,77,6
ACME TRADING LTD,,,,,78,6
JOHN DOE ZURICH CHE,JOHN DOE ZURICH CHE,,,,79,79
ACME TRUST INC,LOS ANGELES,CA,90210,US,80,6
ACME INVESTMENTS LTD,,,,,81,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,82,6
JOHN DOE,JOHN DOE,,,,83,83
JOHN DOE ZURICH CHE,JOHN DOE ZURICH CHE,,,,84,79
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,85,6
HARBOR A DVISORS LP,ROAD TOWN TORTOLA,,,VG,86,6
ACME INVESTMENTS LTD,SG SGP,,,,87,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,88,6
ACME TRUST INC,,,,,89,6
ACME TRUST INC,LOS ANGELES,CA,90210,US,90,6
ACME TRADING LTD,SG SGP,,,,91,6
ALPHA TRUST FBO JA NE DOE SG SGP,ALPHA TRUST FBO JA DOE SG SGP,NE,,US,92,18
ACME INVESTMENTS LTD,SG SGP,,,,93,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,94,6
BANK OF CYPRUS LOS ANGELES CA 90210,BANK OF CYPRUS LOS ANGELES,CA,90210,CY,95,95
ACME TRUST INC,LOS ANGELES,CA,90210,US,96,6
HARBOR A DVISORS LP,LONDON,,,GB,97,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,98,6
HARBOR A DVISORS LP,ZURICH CHE,,,,99,6
ACME TRUST INC,LONDON,,,GB,100,6
NORTH SEA SHIPPING BV,,,,,101,6
HARBOR ADVISORS LP,SG SGP,,,,102,6
ACME TRADING LTD,LOS ANGELES,CA,90210,US,103,6
ACME INVESTMENTS LTD,LONDON,,,GB,104,6
GLOBAL META LS SA,ROAD TOWN TORTOLA,,,VG,105,6
PACIFIC TRUST INC,ZURICH CHE,,,,106,6
ACME INVESTMENTS LTD,,NY,10003,US,107,6
ACME INVESTMENTS LTD,SG SGP,,,,108,6
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,109,6
ACME INVESTMENTS LTD,,,,,110,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,111,6
BANK OF CYPRUS ZURICH CHE,BANK OF CYPRUS ZURICH CHE,,,CY,112,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,113,6
ACME TRA DING LTD,ROAD TOWN TORTOLA,,,VG,114,6
ACME TRUST INC,ZURICH CHE,,,,115,6
REDWOOD PARTNERS LLC,SG SGP,,,,116,45
ACME INVESTMENTS LTD,,,,,117,6
ACME TRUST INC,ZURICH CHE,,,,118,6
ACME TRADING LTD,SG SGP,,,,119,6
ACME TRADING LTD,LONDON,,,GB,120,6
TYCHO FEEDER FUND,INC SG SGP,,,,121,6
REDWOOD PARTNERS LLC,ZURICH CHE,,,,122,45
ACME TRADING LTD,SG SGP,,,,123,6
ACME INVESTMENTS LTD,SG SGP,,,,124,6
ACME INVESTMENTS LTD,,,,,125,6
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,126,6
ACME INVESTMENTS LTD,SG SGP,,,,127,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,128,6
GLOBAL META LS SA,SG SGP,,,,129,6
ACME TRUST INC,,,,,130,6
GLOBAL METALS SA,LONDON,,,GB,131,6
TYCHO FEEDER FUND,INC,NC,,US,132,6
ACME TRADING LTD,SG SGP,,,,133,6
ACME INVESTMENTS LTD,,NY,10003,US,134,6
ACME INVESTMENTS LTD,,NY,10003,US,135,6
NORTH SEA SHIPPING BV,,NY,10003,US,136,6
GLOBAL METALS SA,ROAD TOWN TORTOLA,,,VG,137,6
TYCHO FEEDER FUND,INC,NC,,US,138,6
ACME INVESTMENTS LTD,,,,,139,6
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,140,6
ACME TRUST INC,,,,,141,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,142,6
ACME TRUST INC,,,,,143,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,144,6
TYCHO FEEDER FUND,INC SG SGP,,,,145,6
ACME TRADING LTD,SG SGP,,,,146,6
ALPHA TRUST FBO JANE DOE NY 10003 NY,ALPHA TRUST FBO JANE DOE NY NY,NE,10003,US,147,18
ACME INVESTMENTS LTD,SG SGP,,,,148,6
ACME INVESTMENTS LTD,LONDON,,,GB,149,6
NORTH SEA SHIPPING BV,LOS ANGELES,CA,90210,US,150,6
HARBOR ADVISORS LP,,,,,151,6
GLOBAL METALS,GLOBAL METALS,,,SA,152,15
BANK OF CYPRUS ROAD TOWN TORTOLA,BANK OF CYPRUS ROAD TOWN TORTOLA,,,VG,153,153
GLOBAL METALS SA,SG SGP,,,,154,6
ACME TRUST INC,,,,,155,6
BANK OF CYPRUS LOS ANGELES CA 90210,BANK OF CYPRUS LOS ANGELES,CA,90210,CY,156,95
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,157,6
ACME INVESTMENTS LTD,SG SGP,,,,158,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,159,6
ACME TRADING LTD,LOS ANGELES,CA,90210,US,160,6
ACME INVESTMENTS LTD,,,,,161,6
ACME INVESTMENTS LTD,LONDON,,,GB,162,6
ACME INVESTMENTS LTD,,NY,10003,US,163,6
ACME TRADING LTD,,,,,164,6
ACME TRADING LTD,,,,,165,6
TYCHO FEEDER FUND,INC SG SGP,,,,166,6
GLOBAL HOLDINGS LTD,,,,,167,6
NORTH SEA SHIPPING BV,SG SGP,,,,168,6
ACME INVESTMENTS LTD,,NY,10003,US,169,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,170,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,171,6
NORTH SEA SHIPPING BV,,NY,10003,US,172,6
EASTERN MERCHANTS PTE LTD,SG SGP,,,,173,6
ACME INVESTMENTS LTD,LONDON,,,GB,174,6
ACME INVESTMENTS LTD,,NY,10003,US,175,6
GLOBAL HOLDINGS LTD,,,,,176,6
BANK OF CYPRUS SG SGP,BANK OF CYPRUS SG SGP,,,CY,177,6
ACME TRADING LTD,,,,,178,6
HARBOR A DVISORS LP,,,,,179,6
HARBOR A DVISORS LP,SG SGP,,,,180,6
GLOBAL HOLDINGS LTD,ROAD TOWN TORTOLA,,,VG,181,6
GLOBAL METALS SA,,NY,10003,US,182,6
ACME INVESTMENTS LTD,,,,,183,6
ACME TRUST INC,SG SGP,,,,184,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,185,6
ACME INVESTMENTS LTD,LONDON,,,GB,186,6
NORTH SEA SHIPPING BV,,,,,187,6
ACME INVESTMENTS LTD,SG SGP,,,,188,6
ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,,,VG,189,189
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,190,6
ACME INVESTMENTS LTD,,NY,10003,US,191,6
BANK OF CYPRUS NY 10003 NY,BANK OF CYPRUS,NY,10003,US,192,6
ACME TRUST INC,LONDON,,,GB,193,6
ACME INVESTMENTS LTD,LONDON,,,GB,194,6
ACME INVESTMENTS LTD,,,,,195,6
PACIFIC TRUST INC,,NY,10003,US,196,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,197,6
ACME INVESTMENTS LTD,SG SGP,,,,198,6
ACME INVESTMENTS LTD,,NY,10003,US,199,6
HARBOR A DVISORS LP,ROAD TOWN TORTOLA,,,VG,200,6
ACME INVESTMENTS LTD,SG SGP,,,,201,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,202,6
JOHN DOE LOS ANGELES CA 90210,JOHN DOE LOS ANGELES,CA,90210,US,203,6
ACME INVESTMENTS LTD,SG SGP,,,,204,6
NORTH SEA SHIPPING BV,SG SGP,,,,205,6
JOHN DOE SG SGP,JOHN DOE SG SGP,,,,206,206
ACME INVESTMENTS LTD,SG SGP,,,,207,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,208,6
ACME TRUST INC,SG SGP,,,,209,6
ACME TRADING LTD,,NY,10003,US,210,6
BANK OF CYPRUS NY 10003 NY,BANK OF CYPRUS,NY,10003,US,211,6
ACME TRUST INC,,,,,212,6
ACME INVESTMENTS LTD,,,,,213,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,214,6
ACME TRUST INC,,,,,215,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,216,6
ACME TRUST INC,SG SGP,,,,217,6
PACIFIC TRUST INC,LOS ANGELES,CA,90210,US,218,6
ACME TRUST INC,,,,,219,6
ACME TRADING LTD,ZURICH CHE,,,,220,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,221,6
NORTH SEA SHIPPING BV,,,,,222,6
ALPHA TRUST FBO JANE DOE ZURICH CHE,ALPHA TRUST FBO JANE DOE ZURICH CHE,,,,223,223
GLOBAL METALS,GLOBAL METALS,,,SA,224,15
GLOBAL META LS SA,,NY,10003,US,225,6
ACME TRADING LTD,LONDON,,,GB,226,6
ACME INVESTMENTS LTD,SG SGP,,,,227,6
ACME TRUST INC,SG SGP,,,,228,6
ACME TRADING LTD,,,,,229,6
ACME INVESTMENTS LTD,,,,,230,6
ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE,,,,231,231
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,232,6
ALPHA TRUST FBO JA NE DOE ZURICH CHE,ALPHA TRUST FBO JA DOE ZURICH CHE,NE,,US,233,18
ACME INVESTMENTS LTD,,NY,10003,US,234,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,235,6
ACME INVESTMENTS LTD,,,,,236,6
ACME TRADING LTD,ZURICH CHE,,,,237,6
JOHN DOE,JOHN DOE,,,,238,83
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,239,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,240,6
JOHN DOE ROAD TOWN TORTOLA,JOHN DOE ROAD TOWN TORTOLA,,,VG,241,59
ACME INVESTMENTS LTD,,,,,242,6
HARBOR ADVISORS LP,LOS ANGELES,CA,90210,US,243,6
ACME TRUST INC,LOS ANGELES,CA,90210,US,244,6
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,245,6
ACME INVESTMENTS LTD,SG SGP,,,,246,6
ACME INVESTMENTS LTD,LONDON,,,GB,247,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,248,6
BANK OF CYPRUS ROAD TOWN TORTOLA,BANK OF CYPRUS ROAD TOWN TORTOLA,,,VG,249,153
ACME INVESTMENTS LTD,,NY,10003,US,250,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,251,6
ACME INVESTMENTS LTD,,,,,252,6
ACME INVESTMENTS LTD,,,,,253,6
GLOBAL HOLDINGS LTD,,,,,254,6
HARBOR ADVISORS LP,SG SGP,,,,255,6
ACME INVESTMENTS LTD,,NY,10003,US,256,6
ACME TRUST INC,SG SGP,,,,257,6
BANK OF CYPRUS ZURICH CHE,BANK OF CYPRUS ZURICH CHE,,,CY,258,6
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,259,6
ACME INVESTMENTS LTD,,,,,260,6
ACME TRADING LTD,SG SGP,,,,261,6
ACME TRUST INC,,NY,10003,US,262,6
NORTH SEA SHIPPING BV,SG SGP,,,,263,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,264,6
REDWOOD PARTNERS LLC,,,,,265,45
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,266,6
ACME INVESTMENTS LTD,,NY,10003,US,267,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,268,6
ACME TRADING LTD,,,,,269,6
TYCHO FEEDER FUND,INC,NC,,US,270,6
NORTH SEA SHIPPING BV,,,,,271,6
NORTH SEA SHIPPING BV,ROAD TOWN TORTOLA,,,VG,272,6
ACME INVESTMENTS LTD,LONDON,,,GB,273,6
ACME TRUST INC,LONDON,,,GB,274,6
ACME TRADING LTD,SG SGP,,,,275,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,276,6
NORTH SEA SHIPPING BV,ROAD TOWN TORTOLA,,,VG,277,6
ACME INVESTMENTS LTD,SG SGP,,,,278,6
TYCHO FEEDER FUND,INC LONDON,,,GB,279,6
ACME INVESTMENTS LTD,SG SGP,,,,280,6
ACME INVESTMENTS LTD,,NY,10003,US,281,6
ACME TRADING LTD,SG SGP,,,,282,6
EASTERN MERCHANTS PTE LTD,,,,,283,6
ACME INVESTMENTS LTD,SG SGP,,,,284,6
ACME TRUST INC,,,,,285,6
ACME INVESTMENTS LTD,,NY,10003,US,286,6
EASTERN MERCHANTS PTE LTD,,,,,287,6
TYCHO FEEDER FUND,INC,NC,,US,288,6
NORTH SEA SHIPPING BV,,,,,289,6
ACME TRUST INC,LONDON,,,GB,290,6
GLOBAL METALS SA,ROAD TOWN TORTOLA,,,VG,291,6
GLOBAL METALS SA,LOS ANGELES,CA,90210,US,292,6
NORTH SEA SHIPPING BV,LOS ANGELES,CA,90210,US,293,6
ACME TRUST INC,SG SGP,,,,294,6
ACME INVESTMENTS LTD,,NY,10003,US,295,6
GLOBAL METALS SA,LOS ANGELES,CA,90210,US,296,6
ACME TRUST INC,LONDON,,,GB,297,6
NORTH SEA SHIPPING BV,SG SGP,,,,298,6
ACME TRADING LTD,,NY,10003,US,299,6
EASTERN MERCHA NTS PTE LTD,,,,,300,6
ACME INVESTMENTS LTD,,,,,301,6
ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE,,,,302,231
ALPHA TRUST FBO JA NE DOE LONDON,ALPHA TRUST FBO JA DOE LONDON,NE,,GB,303,18
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,304,6
ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,,,VG,305,189
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,306,6
ACME TRUST INC,,,,,307,6
EASTERN MERCHANTS PTE LTD,,,,,308,6
EASTERN MERCHA NTS PTE LTD,,,,,309,6
ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,,,VG,310,189
REDWOOD PARTNERS LLC,,,,,311,45
ACME INVESTMENTS LTD,,NY,10003,US,312,6
ACME INVESTMENTS LTD,,,,,313,6
ACME TRADING LTD,SG SGP,,,,314,6
GLOBAL METALS SA,,NY,10003,US,315,6
ACME INVESTMENTS LTD,,,,,316,6
ACME INVESTMENTS LTD,,NY,10003,US,317,6
NORTH SEA SHIPPING BV,SG SGP,,,,318,6
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,319,6
EASTERN MERCHANTS PTE LTD,,NY,10003,US,320,6
ACME INVESTMENTS LTD,LONDON,,,GB,321,6
ACME INVESTMENTS LTD,,NY,10003,US,322,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,323,6
ACME INVESTMENTS LTD,LONDON,,,GB,324,6
ACME TRUST INC,LOS ANGELES,CA,90210,US,325,6
ACME TRA DING LTD,ZURICH CHE,,,,326,6
BANK OF CYPRUS NY 10003 NY,BANK OF CYPRUS,NY,10003,US,327,6
ACME TRUST INC,LOS ANGELES,CA,90210,US,328,6
HARBOR A DVISORS LP,ZURICH CHE,,,,329,6
ACME TRADING LTD,SG SGP,,,,330,6
ACME TRUST INC,LONDON,,,GB,331,6
ACME INVESTMENTS LTD,,,,,332,6
TYCHO FEEDER FUND,INC ZURICH CHE,,,,333,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,334,6
JOHN DOE,JOHN DOE,,,,335,83
ACME TRUST INC,,,,,336,6
HARBOR ADVISORS LP,SG SGP,,,,337,6
ACME INVESTMENTS LTD,,,,,338,6
ACME INVESTMENTS LTD,LONDON,,,GB,339,6
ACME TRUST INC,SG SGP,,,,340,6
ACME TRUST INC,,,,,341,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,342,6
REDWOOD PARTNERS LLC,,,,,343,45
ACME INVESTMENTS LTD,,,,,344,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,345,6
ACME INVESTMENTS LTD,,,,,346,6
ACME TRA DING LTD,SG SGP,,,,347,6
ACME INVESTMENTS LTD,,NY,10003,US,348,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,349,6
ACME TRADING LTD,LOS ANGELES,CA,90210,US,350,6
BANK OF CYPRUS ZURICH CHE,BANK OF CYPRUS ZURICH CHE,,,CY,351,6
GLOBAL METALS,GLOBAL METALS,,,SA,352,15
ACME TRA DING LTD,ZURICH CHE,,,,353,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,354,6
NORTH SEA SHIPPING BV,,,,,355,6
GLOBAL HOLDINGS LTD,,,,,356,6
HARBOR A DVISORS LP,ZURICH CHE,,,,357,6
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,358,6
NORTH SEA SHIPPING BV,,,,,359,6
ACME TRADING LTD,LONDON,,,GB,360,6
ACME INVESTMENTS LTD,,,,,361,6
HARBOR ADVISORS LP,ZURICH CHE,,,,362,6
ACME TRUST INC,LONDON,,,GB,363,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,364,6
ACME INVESTMENTS LTD,,,,,365,6
GLOBAL HOLDINGS LTD,ZURICH CHE,,,,366,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,367,6
NORTH SEA SHIPPING BV,,,,,368,6
GLOBAL METALS SA,SG SGP,,,,369,6
ACME INVESTMENTS LTD,,NY,10003,US,370,6
ACME INVESTMENTS LTD,,,,,371,6
GLOBAL METALS SA,ZURICH CHE,,,,372,6
ACME TRADING LTD,,,,,373,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,374,6
ACME TRADING LTD,ZURICH CHE,,,,375,6
ACME TRA DING LTD,,,,,376,6
ALPHA TRUST FBO JANE DOE LOS ANGELES CA 90210,ALPHA TRUST FBO JANE DOE LOS ANGELES,CA,90210,US,377,6
TYCHO FEEDER FUND,INC,NY,10003,US,378,6
NORTH SEA SHIPPING BV,,NY,10003,US,379,6
ACME INVESTMENTS LTD,SG SGP,,,,380,6
GLOBAL HOLDINGS LTD,LONDON,,,GB,381,6
ACME INVESTMENTS LTD,,,,,382,6
ACME TRADING LTD,,,,,383,6
HARBOR ADVISORS LP,,,,,384,6
NORTH SEA SHIPPING BV,LOS ANGELES,CA,90210,US,385,6
ACME INVESTMENTS LTD,,,,,386,6
TYCHO FEEDER FUND,INC LONDON,,,GB,387,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,388,6
TYCHO FEEDER FUND,INC,NY,10003,US,389,6
ACME INVESTMENTS LTD,,,,,390,6
ACME TRUST INC,,,,,391,6
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,392,6
ACME INVESTMENTS LTD,SG SGP,,,,393,6
GLOBAL META LS SA,LOS ANGELES,CA,90210,US,394,6
ACME TRUST INC,,,,,395,6
EASTERN MERCHANTS PTE LTD,,NY,10003,US,396,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,397,6
NORTH SEA SHIPPING BV,LOS ANGELES,CA,90210,US,398,6
ACME TRADING LTD,ZURICH CHE,,,,399,6
ACME INVESTMENTS LTD,,NY,10003,US,400,6
BANK OF CYPRUS ZURICH CHE,BANK OF CYPRUS ZURICH CHE,,,CY,401,6
ACME TRA DING LTD,,,,,402,6
ACME INVESTMENTS LTD,,NY,10003,US,403,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,404,6
JOHN DOE LONDON,JOHN DOE LONDON,,,GB,405,405
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,406,6
ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA,,,VG,407,189
JOHN DOE ZURICH CHE,JOHN DOE ZURICH CHE,,,,408,79
NORTH SEA SHIPPING BV,LOS ANGELES,CA,90210,US,409,6
NORTH SEA SHIPPING BV,ZURICH CHE,,,,410,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,411,6
ACME INVESTMENTS LTD,,,,,412,6
PACIFIC TRUST INC,,,,,413,6
ACME TRUST INC,,NY,10003,US,414,6
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,415,6
JOHN DOE NY 10003 NY,JOHN DOE,NY,10003,US,416,6
ACME TRUST INC,,,,,417,6
GLOBAL HOLDINGS LTD,SG SGP,,,,418,6
EASTERN MERCHANTS PTE LTD,SG SGP,,,,419,6
NORTH SEA SHIPPING BV,,,,,420,6
ALPHA TRUST FBO JANE DOE SG SGP,ALPHA TRUST FBO JANE DOE SG SGP,,,,421,421
BANK OF CYPRUS SG SGP,BANK OF CYPRUS SG SGP,,,CY,422,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,423,6
BANK OF CYPRUS LONDON,BANK OF CYPRUS LONDON,,,GB,424,424
BANK OF CYPRUS SG SGP,BANK OF CYPRUS SG SGP,,,CY,425,6
ACME TRADING LTD,ROAD TOWN TORTOLA,,,VG,426,6
ACME INVESTMENTS LTD,SG SGP,,,,427,6
ALPHA TRUST FBO JANE DOE LONDON,ALPHA TRUST FBO JANE DOE LONDON,,,GB,428,18
ACME INVESTMENTS LTD,ZURICH CHE,,,,429,6
ACME INVESTMENTS LTD,LONDON,,,GB,430,6
ACME INVESTMENTS LTD,,,,,431,6
ACME INVESTMENTS LTD,SG SGP,,,,432,6
BANK OF CYPRUS LONDON,BANK OF CYPRUS LONDON,,,GB,433,424
ACME INVESTMENTS LTD,,,,,434,6
ACME INVESTMENTS LTD,,NY,10003,US,435,6
HARBOR ADVISORS LP,ZURICH CHE,,,,436,6
TYCHO FEEDER FUND,INC,NY,10003,US,437,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,438,6
ACME TRA DING LTD,,,,,439,6
GLOBAL METALS,GLOBAL METALS,,,SA,440,15
EASTERN MERCHANTS PTE LTD,,,,,441,6
ACME INVESTMENTS LTD,LONDON,,,GB,442,6
TYCHO FEEDER FUND,INC SG SGP,,,,443,6
ACME TRADING LTD,ZURICH CHE,,,,444,6
ACME TRADING LTD,ZURICH CHE,,,,445,6
ACME INVESTMENTS LTD,LONDON,,,GB,446,6
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,447,6
ACME TRADING LTD,,,,,448,6
ACME INVESTMENTS LTD,LONDON,,,GB,449,6
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,450,6
TYCHO FEEDER FUND,INC LONDON,,,GB,451,6
EASTERN MERCHA NTS PTE LTD,,,,,452,6
NORTH SEA SHIPPING BV,,,,,453,6
